# utc: 2026-07-24T14:27:12+00:00
# cpu: AMD EPYC 7B13 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 504
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
rust-mt,1024,79.1619,27.13,11107.0 clast=91690.0 T=61
rust-mt,2048,856.9729,20.05,-1045.0 clast=51275.0 T=61
rust-mt,4096,7737.3468,17.76,74348.0 clast=-302529.0 T=61
numpy-1t,64,0.0094,55.78,1047.0 clast=2107.0
numpy-1t,128,0.0521,80.50,-7312.0 clast=-933.0
numpy-1t,256,0.3548,94.57,-3694.0 clast=10946.0
numpy-1t,512,2.6433,101.55,-22592.0 clast=-38634.0
numpy-1t,1024,20.5431,104.54,11107.0 clast=91690.0
numpy-1t,2048,163.5952,105.01,-1045.0 clast=51275.0
numpy-1t,4096,1311.2880,104.81,74348.0 clast=-302529.0
chapel-1t-f32,64,0.1520,3.45,1047.0 clast=2107.0
chapel-1t-f32,128,2.2270,1.88,-7312.0 clast=-933.0
chapel-1t-f32,256,19.8410,1.69,-3694.0 clast=10946.0
chapel-1t-f32,512,293.9880,0.91,-22592.0 clast=-38634.0
chapel-1t-f32,1024,4439.4120,0.48,11107.0 clast=91690.0
chapel-1t-f32,2048,59972.6750,0.29,-1045.0 clast=51275.0
chapel-1t-f32,4096,581266.3240,0.24,74348.0 clast=-302529.0
chapel-1t-f64,64,0.1920,2.73,1047.0 clast=2107.0
chapel-1t-f64,128,2.8180,1.49,-7312.0 clast=-933.0
chapel-1t-f64,256,40.0750,0.84,-3694.0 clast=10946.0
chapel-1t-f64,512,469.9520,0.57,-22592.0 clast=-38634.0
chapel-1t-f64,1024,6336.5370,0.34,11107.0 clast=91690.0
chapel-1t-f64,2048,72259.7180,0.24,-1045.0 clast=51275.0
chapel-1t-f64,4096,596448.2790,0.23,74348.0 clast=-302529.0
